epoch,selected_frac,copy_sig_frac,storeloop_frac,stackcopy_frac,func_repl_frac,true_repl_frac,solve_frac,niches_solved,avg_steps,halt_frac,uniq_frac,zero_frac
410000,0.7803,0.1189,0.0833,0.0386,0.0000,0.0000,0.0000,0,17.7,0.9773,1.0000,0.0835
412000,0.7827,0.1143,0.0789,0.0388,0.0000,0.0000,0.0000,0,21.4,0.9707,1.0000,0.0841
414000,0.7820,0.0979,0.0710,0.0298,0.0000,0.0000,0.0000,0,22.2,0.9685,1.0000,0.0824
416000,0.7825,0.1082,0.0752,0.0364,0.0000,0.0000,0.0000,0,21.8,0.9705,0.9980,0.0839
418000,0.7783,0.1147,0.0818,0.0371,0.0000,0.0000,0.0000,0,19.3,0.9731,1.0000,0.0837
420000,0.7734,0.1086,0.0745,0.0396,0.0000,0.0000,0.0000,0,24.9,0.9646,0.9980,0.0813
422000,0.7836,0.1111,0.0715,0.0435,0.0000,0.0000,0.0000,0,20.4,0.9729,1.0000,0.0858
424000,0.7745,0.1069,0.0764,0.0342,0.0000,0.0000,0.0000,0,21.0,0.9717,1.0000,0.0814
426000,0.7761,0.1187,0.0872,0.0344,0.0000,0.0000,0.0000,0,20.8,0.9712,1.0000,0.0837
428000,0.7792,0.0979,0.0706,0.0320,0.0000,0.0000,0.0000,0,20.3,0.9746,1.0000,0.0822
430000,0.7803,0.1035,0.0723,0.0366,0.0000,0.0000,0.0000,0,19.3,0.9746,1.0000,0.0831
432000,0.7802,0.1042,0.0745,0.0349,0.0000,0.0000,0.0000,0,22.6,0.9678,1.0000,0.0875
434000,0.7709,0.1191,0.0840,0.0413,0.0000,0.0000,0.0000,0,20.1,0.9719,1.0000,0.0842
436000,0.7709,0.1091,0.0754,0.0364,0.0000,0.0000,0.0000,0,21.1,0.9709,1.0000,0.0804
438000,0.7745,0.1035,0.0735,0.0325,0.0000,0.0000,0.0000,0,21.7,0.9697,1.0000,0.0813
440000,0.7827,0.1050,0.0706,0.0388,0.0000,0.0000,0.0000,0,19.2,0.9741,1.0000,0.0846
442000,0.7805,0.1038,0.0752,0.0305,0.0000,0.0000,0.0000,0,20.5,0.9731,1.0000,0.0832
444000,0.7795,0.1094,0.0784,0.0334,0.0000,0.0000,0.0000,0,20.0,0.9734,1.0000,0.0840
446000,0.7780,0.0996,0.0710,0.0339,0.0000,0.0000,0.0000,0,21.1,0.9736,1.0000,0.0832
448000,0.7821,0.1050,0.0747,0.0330,0.0000,0.0000,0.0000,0,19.1,0.9749,0.9980,0.0851
450000,0.7770,0.0999,0.0715,0.0305,0.0000,0.0000,0.0000,0,22.5,0.9692,1.0000,0.0819
452000,0.7808,0.1145,0.0776,0.0410,0.0000,0.0000,0.0000,0,23.3,0.9678,1.0000,0.0867
454000,0.7783,0.1016,0.0698,0.0356,0.0000,0.0000,0.0000,0,16.8,0.9790,1.0000,0.0837
